"word.subject","word.plot_names","word.question_type","word.score","word.willingness_to_pay","word.sentiment_score"
1,"linear_rise","satisfaction",90,10.9034875525361,0.776275396347046
1,"linear_fall","satisfaction",10,9.51719319141624,-0.782345414161682
1,"linear_low","satisfaction",0,8.60090245954208,-0.766147941350937
1,"linear_middle","satisfaction",50,10.7981270368783,-0.573340982198715
1,"linear_high","satisfaction",100,10.9987977323405,0.733873844146729
1,"exp_rise_convex","satisfaction",80,10.9034875525361,0.447273015975952
1,"exp_fall_convex","satisfaction",5,9.29404964010203,-0.76956869661808
1,"exp_rise_concave","satisfaction",95,10.9522777167056,0.742148160934448
1,"exp_fall_concave","satisfaction",55,10.7409686230384,-0.709654778242111
1,"sin_fr_full","satisfaction",75,10.8521942581486,-0.0430810451507568
1,"sin_fr_partial","satisfaction",70,10.7981270368783,0.489366769790649
1,"sin_rf_full","satisfaction",24,9.98719682066197,-0.808103069663048
1,"sin_rf_partial","satisfaction",35,10.2103403719762,-0.807487621903419
1,"sin_rfr_full","satisfaction",70,10.7981270368783,-0.774075090885162
1,"sin_rfr_partial","satisfaction",65,10.7409686230384,0.564718008041382
1,"sin_frf_full","satisfaction",40,10.6158054800843,-0.712869167327881
1,"sin_frf_partial","satisfaction",35,9.98719682066197,-0.531803667545319
1,"sin_frfr","satisfaction",65,10.7409686230384,-0.150505900382996
1,"sin_rfrf","satisfaction",10,9.69951474821019,-0.70612096786499
1,"logistic_rise","satisfaction",60,10.6803440012219,-0.82760414481163
1,"logistic_fall","satisfaction",20,9.69951474821019,-0.735685557126999
1,"positive_change_full","satisfaction",70,10.7981270368783,-0.531803667545319
1,"positive_change_partial","satisfaction",46,10.5468126085974,-0.531803667545319
1,"negative_change_full","satisfaction",45,10.3926619287701,-0.802764624357224
1,"negative_change_partial","satisfaction",50,10.6803440012219,-0.802764624357224
1,"linear_rise_sharp_fall","satisfaction",20,9.29404964010203,-0.439668238162994
1,"linear_rise_sharp_fall_exp_rise","satisfaction",71,10.7981270368783,-0.801244705915451
2,"linear_rise","satisfaction",88,10.6803440012219,0.517738342285156
2,"linear_fall","satisfaction",75,10.4727046364437,0.150944828987122
2,"linear_low","satisfaction",20,NA,-0.64209657907486
2,"linear_middle","satisfaction",94,10.7981270368783,-0.0679548382759094
2,"linear_high","satisfaction",100,10.9034875525361,0.569373607635498
2,"exp_rise_convex","satisfaction",9,10.5468126085974,-0.64209657907486
2,"exp_fall_convex","satisfaction",17,9.00636756765025,-0.64209657907486
2,"exp_rise_concave","satisfaction",85,10.7409686230384,0.0729008913040161
2,"exp_fall_concave","satisfaction",84,10.6158054800843,-0.0205612182617188
2,"sin_fr_full","satisfaction",82,10.5468126085974,0.0729008913040161
2,"sin_fr_partial","satisfaction",100,10.6803440012219,0.533232092857361
2,"sin_rf_full","satisfaction",65,10.3926619287701,-0.188185751438141
2,"sin_rf_partial","satisfaction",55,10.3926619287701,-0.60582560300827
2,"sin_rfr_full","satisfaction",61,10.2103403719762,-0.62202262878418
2,"sin_rfr_partial","satisfaction",36,10.4727046364437,-0.64209657907486
2,"sin_frf_full","satisfaction",24,10.6158054800843,0.533232092857361
2,"sin_frf_partial","satisfaction",97,10.6158054800843,-0.163487553596497
2,"sin_frfr","satisfaction",49,10.4727046364437,0.0729008913040161
2,"sin_rfrf","satisfaction",53,10.2103403719762,-0.62202262878418
2,"logistic_rise","satisfaction",83,10.6803440012219,-0.0205612182617188
2,"logistic_fall","satisfaction",29,9.98719682066197,0.0729008913040161
2,"positive_change_full","satisfaction",74,9.29404964010203,-0.64209657907486
2,"positive_change_partial","satisfaction",68,10.5468126085974,-0.0205612182617188
2,"negative_change_full","satisfaction",64,10.1049798563184,-0.188185751438141
2,"negative_change_partial","satisfaction",77,10.5468126085974,0.517738342285156
2,"linear_rise_sharp_fall","satisfaction",36,9.29404964010203,0.0729008913040161
2,"linear_rise_sharp_fall_exp_rise","satisfaction",91,10.5468126085974,-0.0679548382759094
3,"linear_rise","satisfaction",100,10.9034875525361,0.569373607635498
3,"linear_fall","satisfaction",5,9.51719319141624,-0.75335319340229
3,"linear_low","satisfaction",0,9.51719319141624,-0.6385458111763
3,"linear_middle","satisfaction",65,10.3926619287701,-0.0745089650154114
3,"linear_high","satisfaction",100,11.1266311038503,0.793171763420105
3,"exp_rise_convex","satisfaction",51,10.6158054800843,0.198509931564331
3,"exp_fall_convex","satisfaction",0,10.6158054800843,-0.6385458111763
3,"exp_rise_concave","satisfaction",64,10.7981270368783,0.569373607635498
3,"exp_fall_concave","satisfaction",81,10.9034875525361,0.569373607635498
3,"sin_fr_full","satisfaction",66,10.7409686230384,0.198509931564331
3,"sin_fr_partial","satisfaction",66,10.7409686230384,0.198509931564331
3,"sin_rf_full","satisfaction",50,10.6158054800843,0.198509931564331
3,"sin_rf_partial","satisfaction",40,10.3926619287701,0.198509931564331
3,"sin_rfr_full","satisfaction",60,10.3926619287701,0.198509931564331
3,"sin_rfr_partial","satisfaction",50,10.6158054800843,0.198509931564331
3,"sin_frf_full","satisfaction",50,10.2103403719762,0.198509931564331
3,"sin_frf_partial","satisfaction",62,10.7981270368783,-0.0745089650154114
3,"sin_frfr","satisfaction",51,10.6158054800843,0.198509931564331
3,"sin_rfrf","satisfaction",55,10.7981270368783,0.198509931564331
3,"logistic_rise","satisfaction",50,10.2103403719762,-0.0745089650154114
3,"logistic_fall","satisfaction",49,10.6158054800843,0.198509931564331
3,"positive_change_full","satisfaction",71,10.7981270368783,0.198509931564331
