"X","first_derivative","equation","number_peaks","number_valleys","number_extrema","min","max","integral","end_value","d1_sum_unweight","d1_sum_weight_prime","d1_sum_weight_asc","d1_sum_weight_des","d1_sum_weight_end","d1_avg_unweight","d1_avg_weight_prime","d1_avg_weight_asc","d1_avg_weight_des","d1_avg_weight_end","d2_sum_unweight","d2_sum_weight_prime","d2_sum_weight_asc","d2_sum_weight_des","d2_sum_weight_end","d2_avg_unweight","d2_avg_weight_prime","d2_avg_weight_asc","d2_avg_weight_des","d2_avg_weight_end","willing","word","genre","subject","movie_choice","word_tag"
0,"[1.6153733244188955e-13, -6.10282406728394e-11, 9.225917843634632e-09, -6.8811940986526e-07, 2.3237653028375835e-05, 2.240297617309781e-06, -0.024189726253183847, 0.662043657860065, -6.123336132647877, 11.886502542589149]","[1.6153733244188955e-14, -6.7809156303154885e-12, 1.153239730454329e-09, -9.830277283789428e-08, 3.872942171395972e-06, 4.4805952346195617e-07, -0.006047431563295962, 0.22068121928668832, -3.0616680663239384, 11.886502542589149, 42.130448140115696]",3,3,6,8.32673521155103,20.9641362227838,1372.74537431353,10.9784151637479,-31.1520329763678,-10.9600231470881,-8.54978001405267,-30.390261206407,-39.0273536196729,-0.34613369973742,-0.121778034967646,-0.0949975557116964,-0.337669568960078,-0.43363726244081,-5.6232496698974,-5.80160481956263,2.97466290558071,-10.0037249929525,0.932767228113164,-0.0624805518877489,-0.0644622757729181,0.0330518100620079,-0.111152499921694,0.0103640803123685,20,"boring","Action",1,"Knock at the Cabin","VERB"
0,"[-1.287531117169173e-12, 5.218920963737131e-10, -8.844622238931927e-08, 8.110102122095028e-06, -0.000434261788942352, 0.01361597282560056, -0.234918314694815, 1.8479146368624704, -2.500963439838192, -16.919926986915353]","[-1.287531117169173e-13, 5.798801070819034e-11, -1.1055777798664909e-08, 1.158586017442147e-06, -7.237696482372533e-05, 0.002723194565120112, -0.05872957867370375, 0.6159715456208235, -1.250481719919096, -16.919926986915353, 68.95010205115577]",3,3,6,56.9055613084216,105.111131564502,5776.56546338482,29.7478470857278,-39.202254965428,-51.121946202596,-51.3199354443928,2.31711673760782,-94.2949210411061,-0.435580610726978,-0.568021624473288,-0.570221504937698,0.0257457415289758,-1.04772134490118,2.90476857961772,-0.0389179221478955,-9.74710267999287,13.378063404515,-10.3397537437567,0.0322752064401969,-0.0004324213571988,-0.10830114088881,0.148645148939056,-0.114886152708408,62,"entertaining","Adventure",1,"Knock at the Cabin","ADJ"
0,"[1.294083039150751e-12, -5.407581155264055e-10, 9.46957843595091e-08, -9.004771234200142e-06, 0.0005032506285703835, -0.016690633525966246, 0.3149147211102554, -3.0271683545761703, 11.604610643141765, -9.694035449303692]","[1.294083039150751e-13, -6.00842350584895e-11, 1.1836973044938638e-08, -1.2863958906000204e-06, 8.387510476173057e-05, -0.0033381267051932496, 0.07872868027756386, -1.0090561181920568, 5.802305321570882, -9.694035449303692, 60.10244582044939]",4,4,8,54.8324728314603,79.0143245035847,6337.39251386412,34.0606773730321,-26.0417684474173,24.0846047285599,-29.2645690445665,-3.28764151470517,-95.2109199358418,-0.289352982749081,0.267606719206221,-0.325161878272961,-0.0365293501633908,-1.05789911039824,2.6458087106173,6.33245112708988,-5.41922216686852,8.72648305514015,-4.0559280337261,0.0293978745624145,0.0703605680787765,-0.0602135796318725,0.0969609228348906,-0.0450658670414012,61,"clever","Animation",1,"Knock at the Cabin","ADJ"
0,"[9.164695741650846e-13, -3.6874034813149223e-10, 6.244026303164352e-08, -5.768177370498203e-06, 0.00031427096456485855, -0.010143544414729486, 0.18276689240588692, -1.5469823101982008, 3.1753852188844456, 9.494004781651986]","[9.164695741650847e-14, -4.0971149792388025e-11, 7.80503287895544e-09, -8.240253386426004e-07, 5.2378494094143094e-05, -0.002028708882945897, 0.04569172310147173, -0.5156607700660669, 1.5876926094422228, 9.494004781651986, 34.27706194827387]",3,3,6,71.1055105518721,88.9041464240722,6738.40374301687,122.197848726698,87.9207867784237,126.187482596031,64.8484029976786,45.052580475351,134.782965824094,0.976897630871374,1.4020831399559,0.720537811085318,0.5005842275039,1.4975885091566,18.238327388446,24.1151937323231,24.4163795827618,-1.61847034720437,44.2170179735415,0.202648082093844,0.267946597025812,0.271293106475131,-0.0179830038578263,0.491300199706017,100,"inspirational","Biography",1,"Knock at the Cabin","ADJ"
0,"[6.0564822941892e-13, -2.437889455512078e-10, 4.1394945316179387e-08, -3.869545538640812e-06, 0.000218228324726925, -0.007656072489396384, 0.16579070746778013, -2.100774633700724, 13.477542529762815, -28.458745713221948]","[6.0564822941892e-14, -2.708766061680087e-11, 5.174368164522423e-09, -5.527922198058304e-07, 3.63713874544875e-05, -0.0015312144978792768, 0.04144767686694503, -0.7002582112335746, 6.738771264881407, -28.458745713221948, 74.33183368941134]",2,3,5,62.8520216090363,79.5995799040277,5872.12819497901,96.8089162614579,22.4770825720466,18.0363832352426,29.7170796069499,-1.62072639189162,63.395752005079,0.249745361911629,0.200404258169362,0.330189773410554,-0.018008071021018,0.704397244500877,40.9611291960575,40.1945740494155,19.883380860715,31.3180306343569,55.5603449332077,0.455123657733973,0.446606378326839,0.220926454007945,0.347978118159521,0.61733716592453,73,"interesting","Drama",1,"Knock at the Cabin","ADJ"
0,"[2.4144763726453042e-14, -2.4269551955669433e-12, -1.4236256287221401e-09, 3.5856977457084805e-07, -3.490040056011861e-05, 0.001705721611396074, -0.042238114039832755, 0.44985960366385774, -0.6490713825124563, -8.263028765355648]","[2.4144763726453042e-15, -2.6966168839632703e-13, -1.7795320359026751e-10, 5.122425351012115e-08, -5.816733426686435e-06, 0.0003411443222792148, -0.010559528509958189, 0.14995320122128591, -0.32453569125622816, -8.263028765355648, 57.37058920315978]",3,3,6,13.7285530578183,80.3334573627645,4752.3111965397,87.754281994556,30.3836927913962,46.6988263062642,33.2456393706274,4.73397661861792,85.3405911155751,0.337596586571069,0.51887584784738,0.369395993006971,0.0525997402068657,0.948228790173056,-3.08219227909564,-7.56333383581081,-9.06583492867623,5.21309457980669,-9.72942529109385,-0.0342465808788404,-0.0840370426201201,-0.100731499207514,0.0579232731089632,-0.108104725456598,44,"silly","Fantasy",1,"Knock at the Cabin","ADJ"
0,"[-6.960315974338551e-13, 3.116883561406833e-10, -5.858079838258352e-08, 6.009544332552255e-06, -0.0003662698463970327, 0.013520796483318978, -0.2951426127634544, 3.5566778702101254, -20.773522882780725, 44.44754395214774]","[-6.960315974338552e-14, 3.463203957118703e-11, -7.32259979782294e-09, 8.585063332217507e-07, -6.104497439950545e-05, 0.0027041592966637958, -0.0737856531908636, 1.1855592900700418, -10.386761441390362, 44.44754395214774, 16.151804449152632]",4,4,8,26.0051344719945,104.604455548727,4729.9732958322,17.9917959905701,1.83999154141748,-36.2171725569617,-29.5200754658895,31.8200648926613,-12.3296757644807,0.0204443504601942,-0.402413028410686,-0.328000838509883,0.353556276585126,-0.136996397383119,-30.7579537674935,-35.9879290164502,2.78301227506564,-41.2304544844325,-19.1454628902036,-0.341755041861039,-0.399865877960558,0.0309223586118405,-0.458116160938139,-0.212727365446707,91,"terrifying","Horror",1,"Knock at the Cabin","VERB"
0,"[-3.156085280643384e-13, 1.2645373179998604e-10, -2.1651456849733787e-08, 2.0794246002679943e-06, -0.00012325450739544694, 0.00463803756588315, -0.10819501127744603, 1.42755109030172, -8.571105781653518, 13.109963499494132]","[-3.156085280643384e-14, 1.4050414644442894e-11, -2.7064321062167234e-09, 2.9706065718114206e-07, -2.054241789924116e-05, 0.0009276075131766299, -0.027048752819361508, 0.47585036343390663, -4.285552890826759, 13.109963499494132, 41.48974624583734]",3,3,6,0.471198821855111,60.8365569042333,3061.11326626001,57.1299970288094,15.6402507829721,42.8460583046322,18.4611199408606,1.08919353785456,46.3479940811022,0.173780564255245,0.476067314495914,0.205123554898451,0.0121021504206062,0.514977712012247,-8.63416703827079,-11.412934832987,1.27095800642843,-12.0636668042669,-3.0103136730761,-0.0959351893141199,-0.126810387033188,0.0141217556269826,-0.134040742269632,-0.0334479297008455,39,"plain","SciFi",1,"Knock at the Cabin","ADV"
1,"[4.585785996934141e-14, -1.0494980765576099e-11, 4.3694600709086967e-10, 7.781752121526853e-08, -1.0181534323889545e-05, 0.0005103396039753044, -0.013141731935887045, 0.18551362869503804, -1.431701893528376, 5.080228539337953]","[4.585785996934141e-15, -1.1661089739528998e-12, 5.461825088635871e-11, 1.111678874503836e-08, -1.696922387314924e-06, 0.00010206792079506088, -0.0032854329839717613, 0.06183787623167935, -0.715850946764188, 5.080228539337953, 45.20012675776529]",3,3,6,62.2644890376317,76.9949514365356,5892.32657893545,61.4988869434053,16.29876018564,17.1739651732685,1.19817305966309,19.1752771723869,20.7378407369145,0.181097335396,0.190821835258539,0.0133130339962565,0.213058635248743,0.230420452632383,-0.838971303739271,-0.22448978563299,2.75786340551631,-3.80657753519039,2.86023143196579,-0.0093219033748807,-0.0024943309514776,0.0306429267279589,-0.0422953059465599,0.0317803492440643,60,"Scenic","Action",2,"Avatar: The Way of Water","ADJ"
1,"[6.272140935153493e-13, -2.618093378763345e-10, 4.608300027094656e-08, -4.447803619940616e-06, 0.0002562063614177993, -0.008977217722830324, 0.18652827304502262, -2.1260421754397507, 11.072295326002507, -15.109914849764856]","[6.272140935153494e-14, -2.9089926430703832e-11, 5.76037503386832e-09, -6.354005171343738e-07, 4.2701060236299886e-05, -0.0017954435445660649, 0.046632068261255655, -0.7086807251465835, 5.536147663001254, -15.109914849764856, 64.48085766763418]",4,4,8,59.4186105932877,78.7693485965319,6338.10342207667,71.4293640124552,6.948506344821,8.57793173678897,5.61129218893484,3.07434074209141,17.8312352843727,0.0772056260535667,0.0953103526309885,0.0623476909881649,0.0341593415787934,0.19812483649303,15.0169352720634,16.0421600272396,3.87514902481631,14.8960200652629,14.8016262757134,0.16685483635626,0.178246222524885,0.0430572113868479,0.165511334058477,0.164462514174593,65,"Adventurous ","Adventure",2,"Avatar: The Way of Water","ADJ"
