"X","first_derivative","equation","number_peaks","number_valleys","number_extrema","min","max","integral","end_value","d1_sum_unweight","d1_sum_weight_prime","d1_sum_weight_asc","d1_sum_weight_des","d1_sum_weight_end","d1_avg_unweight","d1_avg_weight_prime","d1_avg_weight_asc","d1_avg_weight_des","d1_avg_weight_end","d2_sum_unweight","d2_sum_weight_prime","d2_sum_weight_asc","d2_sum_weight_des","d2_sum_weight_end","d2_avg_unweight","d2_avg_weight_prime","d2_avg_weight_asc","d2_avg_weight_des","d2_avg_weight_end","willing","word","genre","subject","embeddings","interestingness","sentiment_score"
0,"[2.6877750331384675e-13, -1.1228369702331872e-10, 1.971481236497711e-08, -1.8862489291578016e-06, 0.00010652557085415598, -0.003591312656494026, 0.06962358856720634, -0.7097121407575481, 3.275149691770207, -4.373416695485343]","[2.6877750331384673e-14, -1.2475966335924302e-11, 2.464351545622139e-09, -2.694641327368288e-07, 1.7754261809025997e-05, -0.0007182625312988052, 0.017405897141801584, -0.23657071358584936, 1.6375748458851036, -4.373416695485343, 52.427645507074445]",3,4,7,48.5839558328649,100.651961681794,7779.05993529338,101.902041607631,49.4743961005568,80.6842859804004,21.8346783715893,40.0083167541068,51.8034552956412,0.549715512228409,0.896492066448893,0.242607537462103,0.444536852823408,0.575593947729347,7.27171113658756,7.87214119606116,3.41475914760518,5.67487977312926,10.4482309730748,0.0807967904065284,0.0874682355117906,0.0379417683067242,0.0630542197014363,0.116091455256386,100,"Active","Action",1,-0.0002639042917154,33,0.402
0,"[3.1088667164778853e-14, -8.103366101122921e-12, 4.028014808719131e-10, 8.066004377920048e-08, -1.3080114197679301e-05, 0.0008234465421739578, -0.026509979237141122, 0.4353920586599912, -3.2468401498656645, 9.601545637735178]","[3.1088667164778853e-15, -9.003740112358802e-13, 5.035018510898914e-11, 1.152286339702864e-08, -2.1800190329465503e-06, 0.00016468930843479155, -0.0066274948092852805, 0.14513068621999706, -1.6234200749328322, 9.601545637735178, 41.57155337496874]",3,3,6,98.8895570850832,101.041921749341,8323.98525846914,100.90762230221,59.3360689272415,76.4316719397697,17.8110947956565,56.3589913633954,61.0749773247361,0.659289654747128,0.849240799330774,0.197901053285073,0.626211015148837,0.678610859163735,-7.77654460713728,-9.69863446365137,-0.980117849280209,-8.74056290964139,-5.80298435103805,-0.0864060511904143,-0.107762605151682,-0.0108901983253357,-0.0971173656626822,-0.0644776039004228,100,"Exciting","Adventure",1,0.00447025768973483,36,0.494
0,"[-1.191567118482736e-13, 4.946068876741428e-11, -8.622598574670687e-09, 8.259750326958809e-07, -4.8001824709781874e-05, 0.0017755181572241447, -0.04274108873523343, 0.6561307514897001, -5.649129793790942, 18.914544999672323]","[-1.1915671184827361e-14, 5.4956320852682535e-12, -1.077824821833836e-09, 1.1799643324226871e-07, -8.000304118296978e-06, 0.00035510363144482894, -0.010685272183808358, 0.21871025049656673, -2.824564896895471, 18.914544999672323, 33.99628633793064]",3,3,6,72.9432734583946,96.4030486606947,7710.40074990981,95.296230019521,61.2999436815903,68.6683812099398,22.2588412331696,54.3660883688183,65.5474090412727,0.681110485351004,0.762982013443775,0.247320458146329,0.604067648542425,0.72830454490303,-17.1687737023967,-15.3994748793183,-3.28599012012702,-18.1749770078689,-16.3370041968683,-0.190764152248852,-0.171105276436871,-0.0365110013347447,-0.201944188976321,-0.181522268854092,45,"Cute","Animation",1,0.0072498108997271,25,0.459
0,"[3.9730168280542973e-13, -1.6418918427416808e-10, 2.8515712926385733e-08, -2.6980028166129248e-06, 0.00015050796447401793, -0.004990041047868314, 0.09355447531188624, -0.8602890839213111, 2.442940008141567, 4.570500589104753]","[3.9730168280542976e-14, -1.8243242697129788e-11, 3.5644641157982166e-09, -3.854289738018464e-07, 2.5084660745669657e-05, -0.0009980082095736628, 0.02338861882797156, -0.28676302797377035, 1.2214700040707835, 4.570500589104753, 43.12165348007636]",4,4,8,71.2015532694636,101.205352465438,8167.15744631952,104.122474351517,61.0008208714409,80.3445584085492,25.2261804877615,51.0248456015396,65.667654866361,0.677786898571565,0.892717315650547,0.280290894308461,0.566942728905995,0.729640609626234,1.22789598904947,3.15548965959542,4.36544306091953,-2.83057307460769,7.39928716940085,0.0136432887672164,0.0350609962177269,0.0485049228991059,-0.0314508119400855,0.0822143018822317,100,"Beautiful","Biography",1,0.00965611552563353,31,0.599
0,"[-1.0930285555254816e-13, 4.979610528182858e-11, -9.685638786500027e-09, 1.0481674941739717e-06, -6.888602779690832e-05, 0.0028123764806514606, -0.06981449611058543, 0.9771637020319177, -6.367323451083726, 9.464847855654135]","[-1.0930285555254817e-14, 5.532900586869842e-12, -1.2107048483125034e-09, 1.4973821345342454e-07, -1.1481004632818054e-05, 0.0005624752961302922, -0.01745362402764636, 0.32572123401063924, -3.183661725541863, 9.464847855654135, 44.60870760089729]",5,4,9,-0.0585620725002372,53.1499262500343,507.528597754271,-0.40677841876122,-45.0154860196585,-45.9348659540374,-12.0947983366036,-44.1745591879696,-45.3836310478338,-0.500172066885095,-0.510387399489304,-0.134386648184484,-0.490828435421884,-0.504262567198153,-10.0654220545483,-9.87182639604659,-2.99940137487857,-9.58237619330684,-10.6904231584136,-0.111838022828315,-0.109686959956073,-0.0333266819430952,-0.106470846592298,-0.118782479537929,0,"Depressing","Drama",1,0.00819944933196881,41,-0.382
0,"[2.471173408077628e-13, -1.136377493208575e-10, 2.1253546262526914e-08, -2.1034215533380947e-06, 0.00011972341045122026, -0.003987448935916334, 0.0758556794448755, -0.7734261012758368, 3.8060668538267777, -8.423807523498393]","[2.471173408077628e-14, -1.2626416591206389e-11, 2.6566932828158642e-09, -3.004887933340135e-07, 1.9953901741870044e-05, -0.0007974897871832669, 0.018963919861218877, -0.2578087004252789, 1.9030334269133888, -8.423807523498393, 58.24155502534176]",3,3,6,9.9634163812887,78.7412384719804,3628.32716798985,38.9786002808214,-19.2629547445204,-21.3124129880374,-3.47802487146961,-20.6006685591808,-52.8631600596793,-0.214032830494671,-0.236804588755971,-0.0386447207941068,-0.228896317324231,-0.587368445107548,-14.0259826313701,-14.8669506711188,-20.1436093252284,2.61113103601583,-33.5333475830071,-0.155844251459668,-0.165188340790209,-0.223817881391427,0.0290125670668425,-0.372592750922301,5,"Corny","Fantasy",1,0.0109440446126873,31,0
0,"[-2.7180091968992773e-13, 1.1505138315229465e-10, -2.0456817234197007e-08, 1.9811056258628555e-06, -0.00011333040092844848, 0.003889901464050639, -0.07810208709606895, 0.8598932741240544, -4.486368678650138, 6.107283973981757]","[-2.718009196899277e-14, 1.2783487016921627e-11, -2.557102154274626e-09, 2.8301508940897935e-07, -1.8888400154741414e-05, 0.0007779802928101278, -0.019525521774017236, 0.2866310913746848, -2.243184339325069, 6.107283973981757, 46.84225387812239]",3,2,5,16.8083148529302,60.9117144116527,3900.55762795511,48.1267269927242,1.28447311460184,-8.52352156354456,4.85286331966135,-3.24727192640905,-6.05863117731411,0.014271923495576,-0.0947057951504951,0.0539207035517927,-0.0360807991823228,-0.067318124192379,-8.54641868814889,-6.75956949065024,-4.15024377890039,-6.53277958128572,-10.6545004346135,-0.0949602076460988,-0.0751063276738915,-0.0461138197655599,-0.0725864397920636,-0.118383338162372,5,"Confusing","Horror",1,0.0114630180595322,26,-0.226
0,"[-1.762304915116597e-13, 5.4733256640108056e-11, -6.373710930818103e-09, 3.207738586702474e-07, -4.140090460591357e-06, -0.00018448579566954278, 0.004649927219321722, 0.036751051234869346, -1.134350535169282, 1.7201014803709116]","[-1.7623049151165968e-14, 6.081472960012006e-12, -7.967138663522629e-10, 4.582483695289248e-08, -6.900150767652261e-07, -3.6897159133908554e-05, 0.0011624818048304305, 0.012250350411623116, -0.567175267584641, 1.7201014803709116, 49.005975094239595]",4,3,7,30.1395410717772,63.8123986287819,3435.69699926604,39.5875372735182,-9.41843782072141,25.331588461044,-1.26110864234861,-10.5119386335532,-7.65746685646812,-0.104649309119127,0.2814620940116,-0.0140123182483178,-0.116799318150591,-0.085082965071868,-12.3624473128733,-9.90800856084864,-11.1567837653586,-4.29627537573304,-23.0669478654632,-0.137360525698592,-0.110088984009429,-0.12396426405954,-0.0477363930637004,-0.256299420727369,15,"Vibrant","SciFi",1,0.01510600477473,35,0.527
1,"[-1.4170439341362456e-13, 6.042595907969663e-11, -1.0855107391879113e-08, 1.0631511023036038e-06, -6.121130727345021e-05, 0.002071084224656907, -0.038398533840265724, 0.31873122582088104, -0.5290347407151629, -1.4371871677728563]","[-1.4170439341362455e-14, 6.7139954532996255e-12, -1.356888423984889e-09, 1.5187872890051484e-07, -1.0201884545575034e-05, 0.00041421684493138145, -0.009599633460066431, 0.10624374194029368, -0.26451737035758144, -1.4371871677728563, 52.743752123496414]",1,1,2,9.37827142454235,68.150751068882,3000.96764021201,9.37813528430231,-43.3656168391941,-63.5790898401222,-30.3458145857059,-23.8612064632867,-51.0962935883414,-0.481840187102157,-0.706434331556913,-0.337175717618955,-0.265124516258741,-0.567736595426016,-0.815440925353826,-3.66253440102682,-1.31465817356253,0.295357016870246,-2.85492616462972,-0.0090604547261536,-0.0406948266780758,-0.0146073130395836,0.0032817446318916,-0.0317214018292191,17,"Action","Action",2,0.0164628947727875,33,0
1,"[2.0639736120285756e-13, -8.071997979505346e-11, 1.3145385477770279e-08, -1.154811600895715e-06, 5.922896197395702e-05, -0.0017914821602550402, 0.030677100542595613, -0.2669889036459522, 0.8834176734115253, 0.9240242013905923]","[2.0639736120285755e-14, -8.96888664389483e-12, 1.6431731847212848e-09, -1.6497308584224498e-07, 9.871493662326169e-06, -0.00035829643205100806, 0.007669275135648903, -0.0889963012153174, 0.44170883670576266, 0.9240242013905923, 48.70561167504365]",3,2,5,48.7056840020579,83.5838553863854,6875.80074462878,67.2688596370112,18.5632479619676,28.5897510501113,-3.44168726901546,26.6457472214749,4.61879901234668,0.206258310688529,0.317663900556792,-0.0382409696557274,0.296063858016388,0.0513199890260742,-2.54119786242666,-3.2317272461663,-2.15492708941012,-1.0215702386232,-4.07052477072764,-0.0282355318047406,-0.0359080805129589,-0.0239436343267791,-0.0113507804291467,-0.0452280530080849,80,"Creative","Adventure",2,0.0148179004158596,36,0.44
1,"[-3.8241296445554726e-14, 1.4826830894633858e-11, -2.416109013296609e-09, 2.158176633415219e-07, -1.1600644694110299e-05, 0.00039074589355089795, -0.008429184282718457, 0.11736187725330348, -0.9964340247652056, 4.144682403362885]","[-3.824129644555472e-15, 1.6474256549593174e-12, -3.020136266620761e-10, 3.0831094763074555e-08, -1.9334407823517164e-06, 7.814917871017959e-05, -0.0021072960706796143, 0.03912062575110116, -0.4982170123826028, 4.144682403362885, 49.28183042168662]",1,0,1,49.2821548271154,80.9957363580716,6547.58912683287,78.7382551810017,29.456424759315,32.7025684684872,11.1772052719936,25.6433256771502,30.3681853058609,0.327293608436834,0.36336187187208,0.124191169688818,0.284925840857225,0.337424281176232,-5.93875063967894,-5.76581793382293,-2.96447072981768,-4.458967569781,-7.86729525539715,-0.0659861182186549,-0.0640646437091437,-0.0329385636646408,-0.0495440841086778,-0.087414391726635,98,"Funny","Animation",2,0.022809703127037,25,0.44
1,"[8.916462206919351e-14, -3.82899647517214e-11, 6.896134716293764e-09, -6.749035114048288e-07, 3.883149236235894e-05, -0.001324438826249434, 0.025555013085509518, -0.24589368223198793, 0.8373267110769046, 0.821526889645826]","[8.91646220691935e-15, -4.2544405279690445e-12, 8.620168395367205e-10, -9.641478734354698e-08, 6.47191539372649e-06, -0.0002648877652498868, 0.006388753271377379, -0.08196456074399598, 0.4186633555384523, 0.821526889645826, 49.18131181797259]",2,2,4,49.1813773326081,84.4853753386573,6540.33017930266,84.4854086482804,35.3040968303078,46.006434594821,16.9913108737889,27.1388101640959,40.5948787023168,0.392267742558976,0.511182606609122,0.188792343042098,0.301542335156621,0.45105420780352,-0.079841574148972,0.3352676709685,0.332786733165864,-0.432588700852079,0.773625631173296,-0.0008871286016552,0.0037251963440944,0.0036976303685096,-0.0048065411205786,0.0085958403463699,70,"Thrilling","Biography",2,0.0238523630147174,31,0.477
