"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"random",1.00001365177096,0.9978675172765,1.00096774486792,1.00259334119032,0.996149486399644,0.989364032617841,1.0098243814145,0.999049199321002,0.996551130584682,1.00730631668807
"Embeddings",0.995397154575287,0.943695135512796,0.957983692616062,0.967477894446835,0.96259319873209,0.967482237764482,0.96979386375836,0.948327056281575,0.970505344704781,0.980682174100421
"Interestingness",1.00179689357762,0.995471903475991,1.00020923332271,1.00184760630179,0.995915009612786,0.989867430960213,1.00751118305635,0.996311061478906,0.994231117385484,1.00878586235019
"Sentiment Score",0.792010504479218,0.724339355324927,0.716154107612322,0.741378483512079,0.768359415068794,0.714588089575223,0.727064877922014,0.746406113921285,0.738897208150359,0.709982369812787
"Maximum",0.970178914526614,0.971003955662185,0.961088617823252,0.955047287004753,0.971530514577937,0.942364474692738,0.975708828463063,0.980957788282749,0.965079249566672,0.962573524465273
"Minimum",0.945368290311108,0.955015588299136,0.930215786584528,0.951329623695861,0.941163659346624,0.932607437553592,0.943162804553832,0.934695217629393,0.948109563667653,0.947277048344664
"End Value",0.750231829388903,0.814939261749314,0.765435278773328,0.816609874244655,0.769624443670034,0.777788074800467,0.794810717931896,0.75862095256292,0.797478094314717,0.784144532254203
"Number of
Peaks",0.979995171361856,0.98452525953547,0.975634778959455,0.974210763861016,0.963574565020157,0.980823709224919,0.996035968514571,0.972914374867384,0.979516007375391,1.00206049552774
"Number of
Valleys",0.996732463369866,0.99614507861043,0.998808480098671,1.00291807828638,0.995571067574484,0.989516627395056,1.0136801013534,0.993105358314639,0.987132270529922,1.00050508297558
"Number of
Extrema",0.997649909851231,0.995273585714488,0.996722063795439,0.996284713730938,0.989104854275355,0.986448106025757,1.00443946866041,0.99685253262326,0.998088659927838,1.01135772356228
"Integral",0.934013502184188,0.967809196185502,0.927171649403336,0.934576968458352,0.940731029816055,0.909104965861348,0.93104620237687,0.936044305685658,0.928715659432412,0.933117699580862
"1st Derivative",0.881343790236092,0.885772362909334,0.874605902579714,0.911236119292782,0.87157993507668,0.858691220761582,0.882299277115423,0.868114006738309,0.914152981865165,0.886782526343012
"1st Derivative
Prime",0.91047508673578,0.914429400422859,0.900260178839825,0.925021347968725,0.905529395390549,0.892934161793119,0.913816397015421,0.893675934936791,0.946134651621116,0.918091111633053
"1st Derivative
Ascending",0.867600269760814,0.884638677799206,0.88291841673413,0.914869648597738,0.871523609153432,0.880556100543065,0.899856038213916,0.868347560188533,0.896665069127422,0.88637684389771
"1st Derivative
Descending",0.950586342444201,0.948377723680969,0.931315299728945,0.955262002804121,0.936254720944693,0.910853475546481,0.934656067625629,0.936756763720745,0.979620890717105,0.943780157717111
"1st Derivative
End",0.884259628289355,0.898617659950873,0.892443929045251,0.927848853760521,0.885663120892879,0.884757757633744,0.903714667961976,0.87483561491616,0.909353911794502,0.900867299429299
"2nd Derivative",1.00003661805643,0.997548970129266,1.00092539913781,1.0026629083816,0.9963162655474,0.989590310606408,1.01063320619412,0.999086082479054,0.995859638502201,1.00752021974381
"2nd Derivative
Prime",0.999675339586745,1.0004432897518,1.00075036189059,1.005674306796,0.992991853830096,0.984638287825588,1.00693357738481,0.997418142149352,0.993720854416494,1.00609726061111
"2nd Derivative
Ascending",1.00077443052343,1.00144815924291,0.995295267064349,0.997585977014156,0.990683944917212,0.98408106569392,1.01385734051305,0.991482020489674,0.993680753589196,1.00262734464973
"2nd Derivative
Descending",0.998536557198966,0.9934374496428,0.996145531497199,0.996767445515225,0.993857475254064,0.989758211081768,1.01813015015477,0.993399963710596,0.996436984224856,1.0057056312271
"2nd Derivative
End",0.999687900430144,1.00007823015057,1.00106127375499,1.00336656982202,0.993428823289805,0.986753948159963,1.00845004215491,0.997360795632553,0.992394062712182,1.00661032458043
