,0
10,"[1.1260827345099924e-122, -1.880040062342976e-120, -5.227337209614564e-119, 7.297612817186277e-117, 9.647537239965748e-115, 5.217065085358294e-113, -6.564952564129972e-112, -4.526578192312085e-109, -5.366401537421921e-107, -3.821293959619638e-105, -1.2191185311905378e-103, 1.1867487508638947e-101, 2.616331639821623e-99, 2.853405982152637e-97, 2.126165003493583e-95, 8.994189171596655e-94, -3.337071999983041e-92, -1.2016824133039863e-89, -1.5299983198479724e-87, -1.3401147613004767e-85, -7.977162894229017e-84, -1.3347979190567994e-82, 4.359001030716016e-80, 7.632526688934677e-78, 7.998510925199298e-76, 5.899268888010084e-74, 2.4206549201980434e-72, -1.1319241769214788e-70, -3.6511579070934924e-68, -4.523651202298768e-66, -3.751623524442889e-64, -1.8639350527402392e-62, 3.177807610213208e-61, 1.98459837001045e-58, 2.6170544415491804e-56, 2.13732322410718e-54, 8.977548215813513e-53, -4.908000961656935e-51, -1.421965279012564e-48, -1.547778459923687e-46, -9.179738228023296e-45, 6.135861243849197e-44, 8.402787042317795e-41, 1.0160658098486053e-38, 5.564708037704775e-37, -1.8098563094196873e-35, -6.732773971866382e-33, -5.894410130332191e-31, -4.90287081389611e-30, 4.486391902574796e-27, 4.433403798436563e-25, -2.437624752002858e-24, -3.95082628668658e-21, -2.0286385918079227e-19, 2.5801041439883906e-17, 2.3461681043430954e-15, -2.2967081790753597e-13, -1.4174086741991623e-11, 3.039295135999015e-09, -2.1519811906027042e-07, 9.059314576844585e-06, -0.0002554569478172239, 0.00500238485462872, -0.06792287061132178, 0.6191329093087067, -3.5187703153596197, 10.522511360719442, -6.847118956067616, 51.15105387369792]"
11,"[-3.462881684323445e-123, 5.451904585857445e-121, 1.8593015318669901e-119, -1.847831397539342e-117, -2.8219575471694513e-115, -1.7763487886592672e-113, -1.2980065451730176e-112, 1.1030984043545215e-109, 1.5348142684712756e-107, 1.2553471767352904e-105, 5.870990100637288e-104, -1.221356476534366e-102, -6.235087971356341e-100, -8.109969692324439e-98, -7.062229160413096e-96, -4.124639740437985e-94, -6.098933214109922e-93, 2.3328849823893096e-90, 3.992609058591337e-88, 4.1790524261429165e-86, 3.150491870165116e-84, 1.4433027772635215e-82, -3.312286850599988e-81, -1.664181808063752e-78, -2.2656698537286416e-76, -2.1016013296796838e-74, -1.3585432034866834e-72, -3.549095937613361e-71, 5.685366236676168e-69, 1.1483937398580317e-66, 1.2645657790944499e-64, 9.559125971970328e-63, 3.891875227741252e-61, -2.081886014999138e-59, -6.281236950758751e-57, -7.489863804677778e-55, -5.699036139358693e-53, -2.009693409158648e-51, 1.861147511022297e-49, 4.293038574087708e-47, 4.422690399581085e-45, 2.482226906351829e-43, -3.4650777673883626e-42, -2.527944783143535e-39, -2.9674688464479203e-37, -1.6088376458469333e-35, 5.25376956657397e-34, 1.9581559761826918e-31, 1.750841362326213e-29, 2.2109723633567174e-28, -1.2384399548407415e-25, -1.3113932018398754e-23, -4.734934595892667e-23, 1.0460712754909718e-19, 6.42337837556189e-18, -5.770339530994171e-16, -6.481792071987255e-14, 4.498062940160606e-12, 3.7319015819815854e-10, -5.5701596658292766e-08, 3.027866825899025e-06, -9.316819920860621e-05, 0.0017539626365823142, -0.019836161063749858, 0.11933799148377229, -0.23052072251733094, -0.33139904412280174, -3.823657009294133, 51.466904958089195]"
12,"[1.0682771090664235e-122, -1.7543759261926414e-120, -5.187414424270863e-119, 6.570223102579983e-117, 9.029130681794525e-115, 5.1104389254660796e-113, -3.218601443206194e-112, -4.0367444699560714e-109, -4.993446112865779e-107, -3.705274335827561e-105, -1.354331344228089e-103, 9.036001822318953e-102, 2.3193644204145667e-99, 2.6510464377727837e-97, 2.0704760193412962e-95, 9.824194392604505e-94, -1.6362324594349284e-92, -1.0141384461991334e-89, -1.3871512057340846e-87, -1.2791764663316654e-85, -8.241305651432851e-84, -2.2489520362400136e-82, 3.1797138599323447e-80, 6.595272175466156e-78, 7.404638381341514e-76, 5.868583447305604e-74, 2.8793198628053243e-72, -4.03092821379368e-71, -2.929158436713235e-68, -4.048291412997743e-66, -3.650399135009776e-64, -2.1211569597694278e-62, -1.5814851762635514e-61, 1.4936891883928666e-58, 2.2991528632022e-56, 2.0951585636924877e-54, 1.1143096040944735e-52, -1.3825082757091178e-51, -1.104587689484632e-48, -1.4074044790123746e-46, -1.0022295308270457e-44, -1.800636388163128e-43, 5.875790300647931e-41, 8.962043550098063e-39, 6.280113957291133e-37, 1.7388434489055574e-36, -4.9603341365504916e-33, -5.6211983111840256e-31, -1.804541256538559e-29, 2.8507579349473942e-27, 4.0448805633860644e-25, 9.287268641862534e-24, -2.661807033013232e-21, -2.2734672920139035e-19, 1.2283371146467525e-17, 2.121897281977342e-15, -1.011451738256316e-13, -1.4021981491100298e-11, 1.7475168509971098e-09, -9.087392495826431e-08, 2.75549190113029e-06, -5.166283512010552e-05, 0.0005700545119764329, -0.0026745064375727633, -0.013835864424146572, 0.2628031405288131, -1.3525188199696354, 2.2295964893192255, 49.49315846761068]"
13,"[-6.245218024797241e-123, 1.103846566367017e-120, 2.483858230679129e-119, -4.778807741625399e-117, -5.684032141739901e-115, -2.657638593490583e-113, 9.376670258544614e-112, 3.074159544202992e-109, 3.274624953064834e-107, 2.071385968452976e-105, 3.5633168067192253e-104, -1.090532775416308e-101, -1.8295726776206026e-99, -1.7917195259563445e-97, -1.1800746760293576e-95, -3.245135545101979e-94, 4.544340248154555e-92, 9.36536018924782e-90, 1.0410127636765032e-87, 8.151721149786541e-86, 3.924073751170677e-84, -6.4411253360210454e-83, -4.154209248694531e-80, -5.77097851705591e-78, -5.3646055661941426e-76, -3.4165683629004356e-74, -7.827736066216855e-73, 1.6160547385635465e-70, 3.075993672116087e-68, 3.287380991095675e-66, 2.3817662958233654e-64, 8.321569296637977e-63, -7.372099536045465e-61, -1.7736732926352666e-58, -1.9801804884291697e-56, -1.3962690090838613e-54, -3.570279241519091e-53, 6.571903885946734e-51, 1.221897481631322e-48, 1.1438859570768109e-46, 5.369485791165962e-45, -2.409944541232209e-43, -7.694581974997841e-41, -7.859502247527746e-39, -3.3303278171741323e-37, 2.6243361536592897e-35, 5.9059119180011486e-33, 4.3813440220298325e-31, -3.911454881833012e-30, -4.1507047396224304e-27, -3.4874671636342724e-25, 6.862731817973096e-24, 3.522424542128024e-21, 1.514686028031699e-19, -2.3992002291105373e-17, -1.9604860773479277e-15, 2.0421808570533649e-13, 1.222181852880028e-11, -2.5575991216991346e-09, 1.693159828803131e-07, -6.386510157469716e-06, 0.00015299226261067674, -0.0023776964841832424, 0.023441163682459742, -0.13698215228690852, 0.40488489373830716, -0.3459060648391134, 0.8490023125573767, 49.717186482747394]"
14,"[-9.355038772765806e-123, 1.547784550927436e-120, 4.435820755688351e-119, -5.899741069404329e-117, -7.941792372719769e-115, -4.38566943713341e-113, 4.231586071326461e-112, 3.643738940181236e-109, 4.39982528216781e-107, 3.188327317487488e-105, 1.0796872600669348e-103, -9.006920004151125e-102, -2.1037465595048934e-99, -2.3371390378114493e-97, -1.7737222481714738e-95, -7.853979682840479e-94, 2.260429873384819e-92, 9.5263584646809e-90, 1.2441848219328387e-87, 1.1102936464893402e-85, 6.802977005254188e-84, 1.3998011585530034e-82, -3.3263361618354326e-80, -6.136703046788242e-78, -6.582893309434378e-76, -4.979236474688322e-74, -2.182361352687508e-72, 7.477593119068159e-71, 2.8891404164085033e-68, 3.707265737351116e-66, 3.1659422284362764e-64, 1.6675903979644803e-62, -1.2828781389828792e-61, -1.5515021546839617e-58, -2.1509995208191455e-56, -1.8294827022586612e-54, -8.46999002606217e-53, 3.0811164812001383e-51, 1.1292847463862614e-48, 1.3033248397079254e-46, 8.365660150179417e-45, 3.7308954805400813e-44, -6.450110092724207e-41, -8.555455324296637e-39, -5.284546650728344e-37, 7.484235516755272e-36, 5.274735745162217e-33, 5.240869306179738e-31, 1.1217815910022712e-29, -3.271117769584668e-27, -3.9149621882341507e-25, -4.7300420433904995e-24, 2.9351678715872386e-21, 2.1109448601244872e-19, -1.53609685384433e-17, -2.1303388004678194e-15, 1.239056875151172e-13, 1.41032082543892e-11, -1.9061120994072353e-09, 1.005188819912766e-07, -2.9489912523119865e-06, 4.8599747869623706e-05, -0.00032226444129336194, -0.0030927668905107787, 0.08359380643978198, -0.7206314986924726, 2.6865836524080025, 0.17053848308818492, 49.96482696533203]"
15,"[2.0365990728084954e-122, -3.426240385384649e-120, -9.310626331164405e-119, 1.350601890338078e-116, 1.7630290675524507e-114, 9.388363275553519e-113, -1.4028581312397e-111, -8.441163865386222e-109, -9.883409473390554e-107, -6.953842590231387e-105, -2.1169649707331352e-103, 2.315597067034393e-101, 4.915832164176362e-99, 5.300374184374207e-97, 3.905785171682281e-95, 1.6019379820654423e-93, -6.941249402963598e-92, -2.2953061445592763e-89, -2.882861134721405e-87, -2.5030767441094592e-85, -1.4698003214284623e-83, -2.164108634174136e-82, 8.514133756921125e-80, 1.459400292992269e-77, 1.5181791053057848e-75, 1.1128215118580318e-73, 4.4902652654327216e-72, -2.264923641389979e-70, -7.0448383488287885e-68, -8.689470564568946e-66, -7.201822300898194e-64, -3.5832725380874465e-62, 6.055213343854718e-61, 3.821405700442062e-58, 5.064113833640278e-56, 4.1699719137663335e-54, 1.7973867386235005e-52, -8.921235029951737e-51, -2.7305679625342788e-48, -3.029717864060237e-46, -1.8563566001929593e-44, 3.229455225659942e-44, 1.581765975164455e-40, 1.993428098809357e-38, 1.1628818794382421e-36, -2.588703919440967e-35, -1.2694418592657907e-32, -1.191799060990975e-30, -1.9205275986743451e-29, 8.078042090789355e-27, 8.919330651483757e-25, 4.8275413815927695e-24, -7.147156880928506e-21, -4.525518992959625e-19, 4.1111049165981997e-17, 4.7798459142661185e-15, -3.471139649501184e-13, -3.0579398407305945e-11, 4.9687362435019685e-09, -3.026285921938972e-07, 1.0870252965339569e-05, -0.0002539623671303584, 0.0039477684202974435, -0.0402355013293116, 0.2571937620492609, -0.9683029061957292, 2.1623077636244337, -2.887514053658101, 50.55146789550781]"
16,"[1.2332131936244943e-124, -1.3781820806928183e-122, -8.460795496592069e-121, 2.4912831362921653e-120, 4.8359182164801475e-117, 5.378920541931264e-115, 3.785627022818738e-113, 1.6485946013506233e-111, -1.7996066077439382e-110, -1.420696919507393e-107, -2.0770385796230947e-105, -2.2364857870040083e-103, -1.993874055602801e-101, -1.4342308185163336e-99, -6.585203783632508e-98, 1.9886135468562687e-96, 9.765523388562042e-94, 1.519280675446471e-91, 1.7117098137577823e-89, 1.5163479166041174e-87, 9.83254090683363e-86, 2.4454924335039782e-84, -5.132627473206147e-82, -1.1052659789021656e-79, -1.388119075649771e-77, -1.3014238968157273e-75, -8.82645788670609e-74, -2.5727416398645535e-72, 3.94571694308345e-70, 8.899040437832458e-68, 1.0931922712453865e-65, 9.574932608310864e-64, 5.396047961776743e-62, -1.6669857188564145e-61, -5.23811507094619e-58, -8.122650815979103e-56, -7.893907611689547e-54, -4.7594159994799556e-52, -3.2959493174528374e-52, 4.3239547681613644e-48, 6.474600421555914e-46, 5.521209380950096e-44, 1.9981886396264347e-42, -2.260808374333079e-40, -4.953610683454189e-38, -4.554114769969614e-36, -1.3391065957121494e-34, 2.536788220201334e-32, 4.271415734084027e-30, 2.4770640894722666e-28, -1.358518623328211e-26, -3.6377485630033975e-24, -1.894863209809974e-22, 2.0108629125465485e-20, 3.023297172140517e-18, -6.160602473835189e-17, -3.054339650605302e-14, 7.59756136466219e-13, 2.715199873323372e-10, -3.047499342854953e-08, 1.6276046232025648e-06, -5.313215407728254e-05, 0.001127199453368371, -0.015597419886576817, 0.13625318729732253, -0.6987645372743284, 1.756182123015299, 0.8252308796771176, 49.61017884413401]"
17,"[7.902610338760865e-123, -1.3614049141904566e-120, -3.3786811697857284e-119, 5.62615163894145e-117, 6.996345304965131e-115, 3.4923875340282395e-113, -8.612574406792804e-112, -3.5666404027426383e-109, -3.968730441896858e-107, -2.642498010365557e-105, -6.280416564474969e-104, 1.1364392540407776e-101, 2.0994222857773127e-99, 2.1453527515910023e-97, 1.4882811466546315e-95, 5.049267510677665e-94, -4.258828951321726e-92, -1.0338232935171079e-89, -1.2080411780400785e-87, -9.887923603431743e-86, -5.217272194408771e-84, 6.629179041247783e-84, 4.3040080258241704e-80, 6.451257449575149e-78, 6.267140455703115e-76, 4.2308476176627354e-74, 1.28537440594292e-72, -1.5129250669415482e-70, -3.3230107468506944e-68, -3.736459129865511e-66, -2.8483307080146566e-64, -1.1589206736127103e-62, 6.335879988263518e-61, 1.885889538724692e-58, 2.2259975088003e-56, 1.6581175015461176e-54, 5.301796619342665e-53, -6.259951387493044e-51, -1.3192549982781148e-48, -1.3029762385046204e-46, -6.727939398296548e-45, 1.902127370700444e-43, 8.14278234909767e-41, 8.846751748657781e-39, 4.190420196143883e-37, -2.3955797083767144e-35, -6.343374793240115e-33, -5.055117477130226e-31, 3.5194361735782176e-31, 4.344019607749204e-27, 3.950744411962324e-25, -4.5926433642031654e-24, -3.725459522532881e-21, -1.8100617783334705e-19, 2.4261789588889044e-17, 2.185030967872444e-15, -2.0609033426844806e-13, -1.368183454583817e-11, 2.670854289684338e-09, -1.7426013021494427e-07, 6.585675963836459e-06, -0.00016093599476847939, 0.002618853486041316, -0.02819603919914178, 0.19420374877132882, -0.8033090261158572, 1.8448702559059744, -3.2117626926751592, 50.422447204589844]"
18,"[-1.5921068977426385e-123, 3.465903067004538e-121, 7.637861953553972e-121, -2.0227272625029902e-117, -1.6825599474474045e-115, -2.4602287978348732e-114, 9.666571541612543e-112, 1.367322959745847e-109, 1.0107920595709435e-107, 2.7681973137967396e-106, -4.23730890890949e-104, -8.211182451997718e-102, -8.362069173138676e-100, -5.488071417016896e-98, -1.2295763079669234e-96, 2.700099907605709e-94, 5.080543071481903e-92, 5.435558592174138e-90, 4.018146882071898e-88, 1.5730752393175589e-86, -9.733941481556422e-85, -2.823520849036545e-82, -3.525869136610958e-80, -3.0360783943286933e-78, -1.6796294335421732e-76, 3.1091082381126892e-77, 1.4433367359573485e-72, 2.2192570674332532e-70, 2.1688333859552454e-68, 1.4097592467183822e-66, 2.7928160866444655e-65, -7.964896490638904e-63, -1.4498100910143075e-60, -1.4917006915851025e-58, -9.696417389133199e-57, -1.3763859318254778e-55, 6.469622404371061e-53, 1.066838195416452e-50, 9.732837458843796e-49, 4.486292011957759e-47, -2.2959379161770476e-45, -7.169414119019645e-43, -7.724237491511644e-41, -3.903704751985026e-39, 1.8343812226638936e-37, 5.828229495091405e-35, 5.481670769520781e-33, 1.1774403095468517e-31, -3.654030740661185e-29, -4.937311803177478e-27, -1.5140639274857444e-25, 3.176720474800731e-23, 3.917142088948661e-21, -3.170888028875258e-20, -3.815000931130148e-17, -1.010450025779105e-15, 3.475604353901153e-13, 4.0966528344598135e-12, -3.5382629691865948e-09, 3.0576087393546504e-07, -1.411236890407806e-05, 0.00041242092093582823, -0.008010838331419589, 0.10400174353530778, -0.882574467673616, 4.637586415834001, -13.323635569274236, 12.526078777923527, 47.71398213704427]"
19,"[1.68010758029155e-122, -2.412548505489121e-120, -1.0460077037656026e-118, 6.193181122545623e-117, 1.224862349198543e-114, 9.291664566997503e-113, 2.70164621622928e-111, -3.1291979190766096e-109, -6.081183249752738e-107, -5.999906078836766e-105, -3.8683286931672877e-103, -1.009212085877922e-101, 1.4622460955821345e-99, 2.899695248944172e-97, 3.153469793513775e-95, 2.4538264526499067e-93, 1.232648412721102e-91, -4.938340399119635e-91, -1.0316817045089874e-87, -1.520672522480485e-85, -1.4975345243074003e-83, -1.0812414626248714e-81, -4.667925532613336e-80, 1.409089680451693e-78, 5.812798863366883e-76, 7.70173528141629e-74, 7.070208680065192e-72, 4.592902605616184e-70, 1.325302551287461e-68, -1.6463244794497218e-66, -3.511452408212305e-64, -3.919544062952691e-62, -3.0152668801580846e-60, -1.3244872016815335e-58, 4.592228457744972e-57, 1.7166181562686853e-54, 2.099468557692091e-52, 1.6198348168425307e-50, 6.08031521531068e-49, -4.429451054782444e-47, -1.0872212524158606e-44, -1.1082191821861235e-42, -5.973833845721706e-41, 1.0857414918738345e-39, 6.092328914386944e-37, 6.56617317077877e-35, 2.9154325681737788e-33, -1.888718259007576e-31, -4.331796483861831e-29, -2.9071827378820942e-27, 6.645961636888539e-26, 2.8549006027075244e-23, 1.6598709300543104e-21, -1.1550670070565406e-19, -1.8910229675123768e-17, 2.330918034466992e-16, 1.5054563001094938e-13, -3.084280578352455e-12, -1.041121714019969e-09, 1.0282483600127436e-07, -4.881692894082827e-06, 0.00014289681932731083, -0.0027527099753868376, 0.03523171292558751, -0.2916646753913171, 1.4543454050954085, -3.76200615224124, 4.642786314071511, 49.65242411295573]"
20,"[9.200524395305706e-124, 3.289745886860312e-122, -1.8248129030777715e-119, -1.6668788510710287e-117, -9.326550722175304e-117, 1.3518821158477378e-113, 1.8352499234120346e-111, 1.3401268722392628e-109, 3.1870141078519157e-108, -6.831847730257798e-106, -1.277312987159773e-103, -1.326480562020434e-101, -9.16564856786114e-100, -2.6847393796416958e-98, 3.6752233892934553e-96, 7.958794873531779e-94, 9.22165045176438e-92, 7.581823489874349e-90, 3.984069066942503e-88, -2.3060031356001357e-87, -3.7589107769104257e-84, -5.694664100086464e-82, -5.7241797074393495e-80, -4.106670359025679e-78, -1.537314077568192e-76, 1.1112330420164342e-74, 3.052888737424156e-72, 3.8030273292874836e-70, 3.2875861178340566e-68, 1.8204993293092462e-66, -2.1560155084566315e-66, -1.601686098304772e-62, -2.4276973940760886e-60, -2.3013549507138547e-58, -1.3698495904658037e-56, -5.5957801797151075e-56, 1.105426309816465e-52, 1.6725391026456272e-50, 1.4677682045843678e-48, 6.474450186855748e-47, -3.663977618736004e-45, -1.076586393928867e-42, -1.1495473545941052e-40, -5.9133941048048e-39, 2.406736512163466e-37, 8.269549785157176e-35, 8.008410458610703e-33, 2.097465355047633e-31, -4.764975566117596e-29, -6.911771042523718e-27, -2.5404707557831337e-25, 3.916949041564406e-23, 5.3896412081349476e-21, 8.10498124117195e-21, -4.829814145634731e-17, -1.72394573537466e-15, 4.1873954385326917e-13, 9.046070484504589e-12, -4.297315197705418e-09, 3.3712728570888775e-07, -1.4249669804576742e-05, 0.0003768639555190387, -0.006464069467097123, 0.07111755196312004, -0.47791190770813974, 1.7831886980328322, -3.2008898627554054, 3.4748547510114234, 49.38898468017578]"
21,"[-6.587916951325542e-125, 1.274747778007929e-122, -1.4922624826337131e-121, -7.025815246214704e-119, -2.9217407247350687e-117, 2.9505370863600346e-115, 5.357954657691804e-113, 3.572660501068162e-111, -3.8783218132032e-110, -3.9225076844047634e-107, -5.3127681230573236e-105, -4.2088055205397793e-103, -1.3763097058469046e-101, 1.859148652475076e-99, 4.234093296976846e-97, 4.9824990564764906e-95, 4.006804923185735e-93, 1.7878042791208873e-91, -8.452781634079434e-90, -3.031372659802664e-87, -4.1311200094215845e-85, -3.898828660899256e-83, -2.5223635044712184e-81, -5.030293238498038e-80, 1.500989237591715e-77, 2.889814846803463e-75, 3.2910091634110595e-73, 2.6558714294624886e-71, 1.2570382729263585e-69, -4.1507453865452724e-68, -1.808395533815994e-65, -2.488895074794797e-63, -2.2770763942813255e-61, -1.3005751443126677e-59, 5.059139213260691e-59, 1.2639965568448142e-55, 1.8907036294431006e-53, 1.7167393128609535e-51, 8.523536196355569e-50, -3.0318031890429086e-48, -1.2222340845318368e-45, -1.4829950668726907e-43, -9.795342125911916e-42, 6.851891350302322e-43, 8.988779805102036e-38, 1.182808083670363e-35, 6.820464521465395e-34, -2.5151383884930344e-32, -9.234467483172698e-30, -7.920022165847936e-28, 3.397966974667796e-27, 7.662396198508108e-24, 6.179057927465091e-22, -2.6444943738459655e-20, -7.302173041636116e-18, -4.695212893843492e-17, 6.767653008492763e-14, -1.6601719118617086e-13, -6.321927554987152e-10, 5.812291805796128e-08, -2.7101291702565576e-06, 7.779858055429343e-05, -0.001444552327462035, 0.017355481404299378, -0.1311672650721204, 0.5989983243998329, -1.6597598752935083, 1.5876423968717213, 49.747898451487224]"
22,"[-1.1907042726585e-123, 2.5089437705236587e-121, 2.0748504068268165e-120, -1.3911968049666602e-117, -1.311092043862448e-115, -3.639119669729278e-114, 5.467890326212164e-112, 9.555829840734135e-110, 8.278721662752649e-108, 3.761503342686883e-106, -1.2910896705815034e-104, -4.830760989397816e-102, -5.954511272649587e-100, -4.840398857504222e-98, -2.3568670275173665e-96, 4.0668169702900356e-95, 2.532304761096232e-92, 3.4992358813410508e-90, 3.244416397082804e-88, 2.074508955609709e-86, 5.0292917802522846e-85, -9.381314542564058e-83, -1.8534529013177755e-80, -2.0652657258014566e-78, -1.6305112695946274e-76, -7.840461178444501e-75, 1.546750036700415e-73, 8.86924883290163e-71, 1.2198855802343037e-68, 1.1094163658058302e-66, 6.571506056839677e-65, 6.102288451702566e-64, -4.577891317384949e-61, -7.298799638256784e-59, -6.91490415979812e-57, -3.980697373482382e-55, 4.3010190913118375e-55, 3.4055595033481785e-51, 4.7791628509327225e-49, 3.796367392242776e-47, 1.1802978178864478e-45, -1.6169599381303548e-43, -3.1378266276461456e-41, -2.680709791458188e-39, -7.005973926296909e-38, 1.4344495412235318e-35, 2.2864451481049584e-33, 1.3393183007576557e-31, -5.4445100987767415e-30, -1.7086889641810605e-27, -1.1066311430951266e-25, 5.762438285979124e-24, 1.4018301883808415e-21, 3.361331117388562e-20, -1.1099071614353867e-17, -6.112753410990278e-16, 9.90612386118655e-14, 3.406260616609276e-12, -1.1330210544373374e-09, 8.71270736073275e-08, -3.7282081530460464e-06, 0.00010114513892126904, -0.001785004993817154, 0.01996364985198452, -0.12948626463888888, 0.3750957503444453, 0.06377960283380708, -0.6518314500807011, 50.10744102795919]"
23,"[-5.9539450468438634e-123, 1.0146454827919017e-120, 2.6406771505856736e-119, -4.098872672538752e-117, -5.2279388117332675e-115, -2.704548005789645e-113, 5.200943993097106e-112, 2.579412937552328e-109, 2.9519905702055006e-107, 2.029585088295255e-105, 5.629124641471406e-104, -7.55734977010557e-102, -1.50739712365636e-99, -1.589595633816582e-97, -1.1443395856492786e-95, -4.3931022903701657e-94, 2.4887262319161548e-92, 7.1698918004812e-90, 8.750533207021681e-88, 7.431795231124067e-86, 4.205885357841263e-84, 3.9999057913373485e-83, -2.769262877742723e-80, -4.501467494382502e-78, -4.56426782839746e-76, -3.2497173186646877e-74, -1.2023878780311049e-72, 8.262958335746271e-71, 2.2150963888762386e-68, 2.636378636356355e-66, 2.117954453786497e-64, 9.845164946701267e-63, -2.817869227732662e-61, -1.218366887826359e-58, -1.5390960738401884e-56, -1.2168195719222353e-54, -4.706102601049003e-53, 3.383303099522339e-51, 8.608096686361269e-49, 9.051556350064851e-47, 5.135120137022503e-45, -6.768632678481748e-44, -5.154208371356826e-41, -6.003729748057567e-39, -3.1406676031051086e-37, 1.2525744127683982e-35, 4.085954122138166e-33, 3.468424779005031e-31, 1.904848602798185e-30, -2.7493958734959563e-27, -2.6489474739132967e-25, 1.890625555684681e-24, 2.4020976411925265e-21, 1.228297347014215e-19, -1.5544063696109137e-17, -1.4408131466574647e-15, 1.347405479276808e-13, 8.971765717366425e-12, -1.7770147818795442e-09, 1.1834583851141424e-07, -4.599303082904946e-06, 0.00011652044443469668, -0.0019817642407513126, 0.022437622628214915, -0.16221979131794736, 0.6846465450012134, -1.4036913716885604, 1.2513400646952582, 49.67179946899414]"
24,"[6.661634041254272e-123, -1.160271345017042e-120, -2.7481875562866665e-119, 4.895274388572202e-117, 5.949538001803589e-115, 2.872819546857076e-113, -8.56198835366001e-112, -3.11624390273487e-109, -3.385116242607727e-107, -2.1907821337228036e-105, -4.433407955463769e-104, 1.0526823664031173e-101, 1.837177317747117e-99, 1.8292404510974277e-97, 1.2287913894883783e-95, 3.687749895247727e-94, -4.241224137297894e-92, -9.231396801432915e-90, -1.0424757886232137e-87, -8.266348716903984e-86, -4.0838417804902367e-84, 4.851300458307492e-83, 4.026192268267562e-80, 5.687369706799778e-78, 5.326336280999646e-76, 3.4172429721279474e-74, 8.131542850627616e-73, -1.56561217168196e-70, -3.0150835397029608e-68, -3.225845989668509e-66, -2.3299869587406166e-64, -8.000202181671184e-63, 7.425812144776528e-61, 1.7506506438230834e-58, 1.9346681370240037e-56, 1.3414669722068526e-54, 3.1028764991073872e-53, -6.800070867882613e-51, -1.2127094522361091e-48, -1.106688848453856e-46, -4.8761160751519966e-45, 2.8049374602440372e-43, 7.808552451337695e-41, 7.643954479680174e-39, 2.9123590601831083e-37, -2.995763510231575e-35, -6.001083776447967e-33, -4.146779417070077e-31, 7.704671246109435e-30, 4.365449727937306e-27, 3.3551919730213393e-25, -1.0248493641617416e-23, -3.6959720381632595e-21, -1.3190735795861938e-19, 2.6899723265461356e-17, 1.896793193113032e-15, -2.344631017438297e-13, -1.1434473642831168e-11, 2.8325512762018997e-09, -2.007136588159998e-07, 8.082913915313287e-06, -0.00020867420634398335, 0.003551828571104648, -0.039182322265542045, 0.26181008664763955, -0.8781787968079573, 0.626172490661137, -1.838697033993864, 50.848769124348955]"
25,"[-2.476272571004411e-122, 4.101022210424599e-120, 1.1847982502286198e-118, -1.5619825081495074e-116, -2.1166438471262884e-114, -1.1800877081004929e-112, 9.983500382953773e-112, 9.65964308461804e-109, 1.17898358740293e-106, 8.648583161773468e-105, 3.0500825355948056e-103, -2.276013286595367e-101, -5.575216419525488e-99, -6.297294412482897e-97, -4.868124691327566e-95, -2.2578964386670843e-93, 4.6537127202898776e-92, 2.4677432910705586e-89, 3.3258366396273724e-87, 3.040443086772906e-85, 1.9368088136376536e-83, 5.0087558198872313e-82, -7.90282208142244e-80, -1.5944102687855988e-77, -1.77435209133757e-75, -1.3962114669477613e-73, -6.754414674667201e-72, 1.10251064209572e-70, 7.11066478455064e-68, 9.734168880135464e-66, 8.730514596083296e-64, 5.037489405771481e-62, 3.299639129948679e-61, -3.612935490550101e-58, -5.520015600008491e-56, -5.0120399896051634e-54, -2.653711686014053e-52, 3.437107807864563e-51, 2.6483766654398064e-48, 3.3640554677767133e-46, 2.3905498242158407e-44, 4.266280248310588e-43, -1.402100550287647e-40, -2.1338731215485554e-38, -1.4924515384431924e-36, -3.9666563286414055e-36, 1.1777793081526924e-32, 1.330666217395404e-30, 4.2343612406964375e-29, -6.767008522964855e-27, -9.526866789328827e-25, -2.119457120105635e-23, 6.306897426556738e-21, 5.278333657453754e-19, -2.9873410372250194e-17, -4.9306353253068235e-15, 2.522115326399638e-13, 3.204232859756034e-11, -4.259828636271363e-09, 2.3951610159891376e-07, -8.322687637946076e-06, 0.00019996733809510937, -0.003502566068358175, 0.04528312206505177, -0.41506777467872297, 2.4207985630168083, -7.085868413934368, 2.9416225866502126, 48.604932657877605]"
