"word.subject","word.plot_names","word.question_type","word.score","word.sentiment_score"
4,"sin_rfr_partial","meaningfulness",83,-0.0702380952380952
4,"sin_frf_full","meaningfulness",22,-0.231349206349206
4,"sin_frf_partial","meaningfulness",55,-0.0992063492063492
4,"sin_frfr","meaningfulness",75,-0.185714285714286
4,"sin_rfrf","meaningfulness",79,-0.284126984126984
4,"logistic_rise","meaningfulness",47,0.266666666666667
4,"logistic_fall","meaningfulness",70,-0.434920634920635
4,"positive_change_full","meaningfulness",40,-0.00714285714285714
4,"positive_change_partial","meaningfulness",20,-0.134920634920635
4,"negative_change_full","meaningfulness",79,-0.142063492063492
4,"negative_change_partial","meaningfulness",69,0.136904761904762
4,"linear_rise_sharp_fall","meaningfulness",37,-0.480952380952381
4,"linear_rise_sharp_fall_exp_rise","meaningfulness",67,0.0353174603174603
5,"linear_rise","meaningfulness",69,0.398809523809524
5,"linear_fall","meaningfulness",62,-0.411111111111111
5,"linear_low","meaningfulness",11,-0.582142857142857
5,"linear_middle","meaningfulness",38,0.0607142857142857
5,"linear_high","meaningfulness",96,0.487698412698413
5,"exp_rise_convex","meaningfulness",32,0.178174603174603
5,"exp_fall_convex","meaningfulness",62,-0.403571428571429
5,"exp_rise_concave","meaningfulness",83,0.461904761904762
5,"exp_fall_concave","meaningfulness",79,-0.157142857142857
5,"sin_fr_full","meaningfulness",71,0.0531746031746032
5,"sin_fr_partial","meaningfulness",81,0.293650793650794
5,"sin_rf_full","meaningfulness",39,0.0293650793650794
5,"sin_rf_partial","meaningfulness",58,-0.201190476190476
5,"sin_rfr_full","meaningfulness",63,-0.0690476190476191
5,"sin_rfr_partial","meaningfulness",61,-0.0702380952380952
5,"sin_frf_full","meaningfulness",54,-0.231349206349206
5,"sin_frf_partial","meaningfulness",62,-0.0992063492063492
5,"sin_frfr","meaningfulness",57,-0.185714285714286
5,"sin_rfrf","meaningfulness",59,-0.284126984126984
5,"logistic_rise","meaningfulness",48,0.266666666666667
5,"logistic_fall","meaningfulness",55,-0.434920634920635
5,"positive_change_full","meaningfulness",59,-0.00714285714285714
